zone_id,throughput,utilization,queue,workers,robots,timestamp
pick-a,127,42.4,4,5,0,1772553635664
pick-b,127,50.0,21,4,5,1772553635664
pack,130,46.8,27,6,0,1772553635664
stage-out,130,49.8,1,3,0,1772553635664
dock-c,130,57.2,15,7,0,1772553635664
dock-d,96,69.5,16,5,0,1772553635664
dock-a,115,71.5,6,4,0,1772553637664
dock-b,122,46.3,19,6,0,1772553637664
stage-in,129,36.3,16,4,0,1772553637664
aisle-1-4,121,66.2,4,7,0,1772553637664
aisle-5-8,130,39.1,30,2,3,1772553637664
aisle-9-12,130,65.1,29,3,5,1772553637664
pick-a,125,42.7,6,5,0,1772553637664
pick-b,130,49.8,22,3,5,1772553637664
pack,127,46.8,24,5,0,1772553637664
stage-out,128,50.6,1,3,0,1772553637664
dock-c,129,58.8,12,8,0,1772553637664
dock-d,92,67.9,19,5,0,1772553637664
dock-a,118,70.4,3,4,0,1772553639664
dock-b,122,45.7,17,6,0,1772553639664
stage-in,126,36.7,14,4,0,1772553639664
aisle-1-4,121,66.8,6,7,0,1772553639664
aisle-5-8,130,38.3,30,2,3,1772553639664
aisle-9-12,130,64.3,30,3,5,1772553639664
pick-a,128,44.1,6,5,0,1772553639664
pick-b,130,51.5,21,3,5,1772553639664
pack,125,45.0,25,5,0,1772553639664
stage-out,130,50.2,1,3,0,1772553639664
dock-c,129,58.2,15,8,0,1772553639664
dock-d,88,67.7,19,5,0,1772553639664
dock-a,117,68.9,4,4,0,1772553641664
dock-b,119,44.9,19,6,0,1772553641664
stage-in,124,34.9,12,4,0,1772553641664
aisle-1-4,117,67.2,3,7,0,1772553641664
aisle-5-8,127,37.9,29,2,3,1772553641664
aisle-9-12,130,63.1,30,3,5,1772553641664
pick-a,125,44.5,5,5,0,1772553641664
pick-b,129,51.6,22,3,5,1772553641664
pack,123,44.2,25,5,0,1772553641664
stage-out,130,49.6,2,3,0,1772553641664
dock-c,130,58.8,17,8,0,1772553641664
dock-d,92,68.6,21,5,0,1772553641664
dock-a,116,68.2,7,4,0,1772553643664
dock-b,117,46.2,18,6,0,1772553643664
stage-in,126,33.7,11,4,0,1772553643664
aisle-1-4,120,69.2,0,7,0,1772553643664
aisle-5-8,125,36.2,29,2,3,1772553643664
aisle-9-12,130,61.3,29,3,5,1772553643664
pick-a,124,44.7,8,5,0,1772553643664
pick-b,128,52.3,25,3,5,1772553643664
pack,128,44.2,25,5,0,1772553643664
stage-out,130,48.0,0,3,0,1772553643664
dock-c,130,59.2,15,8,0,1772553643664
dock-d,90,70.0,18,5,0,1772553643664
dock-a,120,68.6,8,4,0,1772553645664
dock-b,118,46.2,20,6,0,1772553645664
stage-in,124,35.1,10,4,0,1772553645664
aisle-1-4,117,69.1,0,7,0,1772553645664
aisle-5-8,130,34.6,28,2,3,1772553645664
aisle-9-12,130,63.3,30,3,5,1772553645664
pick-a,122,44.1,10,5,0,1772553645664
pick-b,128,52.0,24,3,5,1772553645664
pack,130,45.1,27,5,0,1772553645664
stage-out,127,46.3,1,3,0,1772553645664
dock-c,130,57.8,17,8,0,1772553645664
dock-d,92,68.4,18,5,0,1772553645664
dock-a,123,67.9,7,4,0,1772553647664
dock-b,116,45.2,23,6,0,1772553647664
stage-in,129,36.2,8,4,0,1772553647664
aisle-1-4,118,70.3,0,7,0,1772553647664
aisle-5-8,130,34.7,29,2,3,1772553647664
aisle-9-12,130,64.0,30,3,5,1772553647664
pick-a,121,42.9,7,5,0,1772553647664
pick-b,128,53.3,27,3,5,1772553647664
pack,130,46.8,28,5,0,1772553647664
stage-out,125,47.2,0,3,0,1772553647664
dock-c,130,57.7,18,8,0,1772553647664
dock-d,91,68.9,21,5,0,1772553647664
dock-a,123,65.9,5,4,0,1772553649664
dock-b,117,43.6,20,6,0,1772553649664
stage-in,130,36.2,7,4,0,1772553649664
aisle-1-4,115,70.8,0,7,0,1772553649664
aisle-5-8,130,35.5,30,2,3,1772553649664
aisle-9-12,129,62.2,28,3,5,1772553649664
pick-a,125,42.7,9,5,0,1772553649664
pick-b,130,52.6,26,3,5,1772553649664
pack,127,45.4,25,5,0,1772553649664
stage-out,123,45.4,1,3,0,1772553649664
dock-c,130,55.9,18,8,0,1772553649664
dock-d,93,68.8,23,5,0,1772553649664
dock-a,128,64.0,6,4,0,1772553651664
dock-b,113,43.4,18,6,0,1772553651664
stage-in,130,35.1,7,4,0,1772553651664
aisle-1-4,112,72.5,0,7,0,1772553651664
aisle-5-8,130,36.9,28,2,3,1772553651664
aisle-9-12,125,64.2,26,3,5,1772553651664
pick-a,126,42.9,7,5,0,1772553651664
pick-b,130,54.0,28,3,5,1772553651664
pack,129,46.6,23,5,0,1772553651664
stage-out,123,43.7,4,3,0,1772553651664
dock-c,129,56.9,20,8,0,1772553651664
dock-d,92,70.1,25,5,0,1772553651664
dock-a,130,65.9,3,4,0,1772553653664
dock-b,110,43.4,19,6,0,1772553653664
stage-in,130,34.0,7,4,0,1772553653664
aisle-1-4,114,72.3,1,7,0,1772553653664
aisle-5-8,130,36.7,28,2,3,1772553653664
aisle-9-12,125,63.3,24,3,5,1772553653664
pick-a,123,43.7,6,5,0,1772553653664
pick-b,130,54.0,27,3,5,1772553653664
pack,130,44.6,20,5,0,1772553653664
stage-out,119,43.5,2,3,0,1772553653664
dock-c,130,56.5,18,8,0,1772553653664
dock-d,92,68.6,27,5,0,1772553653664
dock-a,127,66.4,5,4,0,1772553655664
dock-b,107,44.3,22,6,0,1772553655664
stage-in,128,33.3,7,4,0,1772553655664
aisle-1-4,118,73.4,0,7,0,1772553655664
aisle-5-8,130,35.5,30,2,3,1772553655664
aisle-9-12,124,62.6,27,3,5,1772553655664
pick-a,121,44.8,6,5,0,1772553655664
pick-b,130,54.9,29,3,5,1772553655664
pack,128,46.0,22,5,0,1772553655664
stage-out,123,44.6,2,3,0,1772553655664
dock-c,130,54.9,18,8,0,1772553655664
dock-d,97,68.2,27,5,0,1772553655664
dock-a,129,66.2,4,4,0,1772553657664
dock-b,112,44.4,23,6,0,1772553657664
stage-in,130,32.5,8,4,0,1772553657664
aisle-1-4,122,74.8,0,7,0,1772553657664
aisle-5-8,130,36.3,30,2,3,1772553657664
aisle-9-12,128,63.3,27,3,5,1772553657664
pick-a,120,44.8,9,5,0,1772553657664
pick-b,128,55.1,29,3,5,1772553657664
pack,129,47.9,22,5,0,1772553657664
stage-out,125,46.3,0,3,0,1772553657664
dock-c,128,54.0,15,8,0,1772553657664
dock-d,95,69.8,27,5,0,1772553657664
dock-a,130,68.1,2,4,0,1772553659664
dock-b,113,44.8,23,6,0,1772553659664
stage-in,130,30.9,8,4,0,1772553659664
aisle-1-4,122,76.6,0,7,0,1772553659664
aisle-5-8,130,35.4,30,2,3,1772553659664
aisle-9-12,124,65.0,29,3,5,1772553659664
pick-a,116,43.2,7,5,0,1772553659664
pick-b,124,55.9,30,3,5,1772553659664
pack,130,48.7,23,5,0,1772553659664
stage-out,124,48.0,0,3,0,1772553659664
dock-c,124,55.2,18,8,0,1772553659664
dock-d,98,70.6,24,5,0,1772553659664
dock-a,130,67.8,5,4,0,1772553661664
dock-b,116,45.3,20,6,0,1772553661664
stage-in,129,31.9,6,4,0,1772553661664
aisle-1-4,126,76.3,1,7,0,1772553661664
aisle-5-8,127,36.1,30,2,3,1772553661664
aisle-9-12,122,63.5,29,3,5,1772553661664
pick-a,117,44.6,6,5,0,1772553661664
pick-b,122,56.6,29,3,5,1772553661664
pack,129,49.6,23,5,0,1772553661664
stage-out,123,49.4,0,3,0,1772553661664
dock-c,122,56.8,15,8,0,1772553661664
dock-d,101,72.5,26,5,0,1772553661664
dock-a,130,69.6,2,4,0,1772553663664
dock-b,119,47.1,20,6,0,1772553663664
stage-in,130,30,6,4,0,1772553663664
aisle-1-4,130,76.8,2,7,0,1772553663664
aisle-5-8,127,34.4,30,2,3,1772553663664
aisle-9-12,124,62.6,30,3,5,1772553663664
pick-a,121,44.4,6,5,0,1772553663664
pick-b,118,56.1,27,3,5,1772553663664
pack,127,49.2,24,5,0,1772553663664
stage-out,125,49.0,1,3,0,1772553663664
dock-c,118,55.2,16,8,0,1772553663664
dock-d,103,73.3,27,5,0,1772553663664
dock-a,127,70.5,2,4,0,1772553665664
dock-b,121,48.5,18,6,0,1772553665664
stage-in,128,30,9,4,0,1772553665664
aisle-1-4,130,77.5,0,7,0,1772553665664
aisle-5-8,130,33.8,30,2,3,1772553665664
aisle-9-12,126,62.0,28,3,5,1772553665664
pick-a,117,44.0,6,5,0,1772553665664
pick-b,121,57.2,28,3,5,1772553665664
pack,128,50.9,23,5,0,1772553665664
stage-out,128,50.0,0,3,0,1772553665664
dock-c,120,55.3,14,8,0,1772553665664
dock-d,104,74.7,26,5,0,1772553665664
dock-a,125,70.3,5,4,0,1772553667664
dock-b,124,50.0,15,6,0,1772553667664
stage-in,130,31.0,11,4,0,1772553667664
aisle-1-4,130,75.8,1,7,0,1772553667664
aisle-5-8,130,35.8,27,2,3,1772553667664
aisle-9-12,122,60.2,29,3,5,1772553667664
pick-a,117,44.2,5,5,0,1772553667664
pick-b,123,56.4,30,3,5,1772553667664
pack,130,51.6,21,5,0,1772553667664
stage-out,129,49.6,2,3,0,1772553667664
dock-c,122,53.8,13,8,0,1772553667664
dock-d,106,73.8,23,5,0,1772553667664
dock-a,126,70.5,3,4,0,1772553669664
dock-b,124,48.7,17,6,0,1772553669664
stage-in,128,30.5,9,4,0,1772553669664
aisle-1-4,130,75.4,0,7,0,1772553669664
aisle-5-8,130,34.3,27,2,3,1772553669664
aisle-9-12,121,58.7,27,3,5,1772553669664
pick-a,113,44.6,8,5,0,1772553669664
pick-b,119,57.3,27,3,5,1772553669664
pack,130,51.7,22,5,0,1772553669664
stage-out,128,49.4,0,3,0,1772553669664
dock-c,120,52.8,14,8,0,1772553669664
dock-d,109,75.0,25,5,0,1772553669664
dock-a,125,71.5,1,4,0,1772553671664
dock-b,128,48.8,17,6,0,1772553671664
stage-in,126,30,6,4,0,1772553671664
aisle-1-4,126,76.6,0,7,0,1772553671664
aisle-5-8,129,32.9,24,2,3,1772553671664
aisle-9-12,122,56.8,30,3,5,1772553671664
pick-a,113,44.9,5,5,0,1772553671664
pick-b,118,58.4,24,3,5,1772553671664
pack,130,53.5,24,5,0,1772553671664
stage-out,130,47.7,0,3,0,1772553671664
dock-c,125,54.7,16,8,0,1772553671664
dock-d,107,76.7,28,5,0,1772553671664
dock-a,122,73.1,0,4,0,1772553673664
dock-b,126,50.6,19,6,0,1772553673664
stage-in,128,31.8,5,4,0,1772553673664
aisle-1-4,126,76.8,0,7,0,1772553673664
aisle-5-8,126,34.3,21,2,3,1772553673664
aisle-9-12,118,58.4,27,3,5,1772553673664
pick-a,110,46.1,7,5,0,1772553673664
pick-b,117,57.5,21,3,5,1772553673664
pack,130,53.5,23,5,0,1772553673664
stage-out,128,47.4,3,3,0,1772553673664
dock-c,127,53.7,16,8,0,1772553673664
dock-d,108,77.0,27,5,0,1772553673664
dock-a,126,73.0,0,4,0,1772553675664
dock-b,125,52.4,21,6,0,1772553675664
stage-in,129,33.4,5,4,0,1772553675664
aisle-1-4,130,77.9,2,7,0,1772553675664
aisle-5-8,130,34.7,19,2,3,1772553675664
aisle-9-12,116,59.9,28,3,5,1772553675664
pick-a,112,45.8,6,5,0,1772553675664
pick-b,115,57.8,21,3,5,1772553675664
pack,130,54.0,21,5,0,1772553675664
stage-out,128,46.6,6,3,0,1772553675664
dock-c,130,55.6,14,8,0,1772553675664
dock-d,113,77.8,27,5,0,1772553675664
dock-a,129,72.9,0,4,0,1772553677664
dock-b,127,54.2,19,6,0,1772553677664
stage-in,126,34.4,3,4,0,1772553677664
aisle-1-4,130,76.8,1,7,0,1772553677664
aisle-5-8,130,35.6,16,2,3,1772553677664
aisle-9-12,119,61.2,29,3,5,1772553677664
pick-a,108,44.4,6,5,0,1772553677664
pick-b,116,57.4,24,3,5,1772553677664
pack,126,55.7,21,5,0,1772553677664
stage-out,130,44.8,9,3,0,1772553677664
dock-c,127,54.6,17,8,0,1772553677664
dock-d,113,78,30,5,0,1772553677664
dock-a,130,74.3,0,4,0,1772553679664
dock-b,127,55.2,21,6,0,1772553679664
stage-in,124,33.2,2,4,0,1772553679664
aisle-1-4,130,77.9,2,7,0,1772553679664
aisle-5-8,129,34.1,15,2,3,1772553679664
aisle-9-12,120,61.8,29,3,5,1772553679664
pick-a,109,43.5,3,5,0,1772553679664
pick-b,119,55.7,24,3,5,1772553679664
pack,129,56.9,19,5,0,1772553679664
stage-out,130,44.7,9,3,0,1772553679664
dock-c,123,55.3,18,8,0,1772553679664
dock-d,115,78,30,5,0,1772553679664
dock-a,130,74.6,2,4,0,1772553681664
dock-b,125,56.3,21,6,0,1772553681664
stage-in,123,34.1,3,4,0,1772553681664
aisle-1-4,128,77.1,5,7,0,1772553681664
aisle-5-8,128,34.7,18,2,3,1772553681664
aisle-9-12,116,59.9,28,3,5,1772553681664
pick-a,108,41.8,6,5,0,1772553681664
pick-b,122,56.4,21,3,5,1772553681664
pack,129,55.1,22,5,0,1772553681664
stage-out,130,43.3,12,3,0,1772553681664
dock-c,121,54.3,21,8,0,1772553681664
dock-d,117,78,30,5,0,1772553681664
dock-a,130,72.7,5,4,0,1772553683664
dock-b,127,55.3,21,6,0,1772553683664
stage-in,123,33.6,3,4,0,1772553683664
aisle-1-4,130,77.4,8,7,0,1772553683664
aisle-5-8,130,34.3,19,2,3,1772553683664
aisle-9-12,112,57.9,26,3,5,1772553683664
pick-a,105,40.6,9,5,0,1772553683664
pick-b,125,55.9,23,3,5,1772553683664
pack,130,55.1,22,5,0,1772553683664
stage-out,130,42.8,12,3,0,1772553683664
dock-c,122,54.5,18,8,0,1772553683664
dock-d,116,78,30,5,0,1772553683664
dock-a,127,71.2,5,4,0,1772553685664
dock-b,130,54.8,20,6,0,1772553685664
stage-in,121,33.9,2,4,0,1772553685664
aisle-1-4,130,78,10,7,0,1772553685664
aisle-5-8,129,34.7,20,2,3,1772553685664
aisle-9-12,114,59.9,29,3,5,1772553685664
pick-a,102,42.4,10,5,0,1772553685664
pick-b,126,55.2,21,3,5,1772553685664
pack,130,53.3,21,5,0,1772553685664
stage-out,127,42.4,14,3,0,1772553685664
dock-c,120,53.8,17,8,0,1772553685664
dock-d,120,76.2,30,5,0,1772553685664
dock-a,130,72.7,2,4,0,1772553687664
dock-b,130,56.2,21,6,0,1772553687664
stage-in,123,34.3,2,4,0,1772553687664
aisle-1-4,128,78,11,7,0,1772553687664
aisle-5-8,130,35.7,20,2,3,1772553687664
aisle-9-12,110,59.3,30,3,5,1772553687664
pick-a,99,40.4,8,5,0,1772553687664
pick-b,127,57.1,20,3,5,1772553687664
pack,130,55.1,22,5,0,1772553687664
stage-out,130,41.8,13,3,0,1772553687664
dock-c,124,52.0,14,8,0,1772553687664
dock-d,125,76.0,27,5,0,1772553687664
dock-a,130,70.9,5,4,0,1772553689664
dock-b,126,56.4,23,6,0,1772553689664
stage-in,125,33.3,4,4,0,1772553689664
aisle-1-4,125,78,11,7,0,1772553689664
aisle-5-8,130,36.2,20,2,3,1772553689664
aisle-9-12,109,60.5,29,3,5,1772553689664
pick-a,95,38.8,6,5,0,1772553689664
pick-b,130,55.3,20,3,5,1772553689664
pack,127,55.8,21,5,0,1772553689664
stage-out,130,42.8,13,3,0,1772553689664
dock-c,123,50.1,15,8,0,1772553689664
dock-d,123,77.3,29,5,0,1772553689664
dock-a,130,72.3,8,4,0,1772553691664
dock-b,130,56.9,21,6,0,1772553691664
stage-in,125,33.4,2,4,0,1772553691664
aisle-1-4,123,78,11,7,0,1772553691664
aisle-5-8,127,35.6,19,2,3,1772553691664
aisle-9-12,106,59.8,28,3,5,1772553691664
pick-a,93,40.7,9,5,0,1772553691664
pick-b,130,54.4,23,3,5,1772553691664
pack,130,57.8,22,5,0,1772553691664
stage-out,130,42.6,10,3,0,1772553691664
dock-c,120,50.6,15,8,0,1772553691664
dock-d,128,78,26,5,0,1772553691664
dock-a,128,70.8,6,4,0,1772553693664
dock-b,130,56.6,21,6,0,1772553693664
stage-in,122,33.9,4,4,0,1772553693664
aisle-1-4,120,78,13,7,0,1772553693664
aisle-5-8,130,34.5,18,2,3,1772553693664
aisle-9-12,111,59.8,27,3,5,1772553693664
pick-a,91,41.6,11,5,0,1772553693664
pick-b,127,53.0,25,3,5,1772553693664
pack,126,56.9,21,5,0,1772553693664
stage-out,126,42.7,8,3,0,1772553693664
dock-c,123,49.7,12,8,0,1772553693664
dock-d,130,78,26,5,0,1772553693664
dock-a,128,70.0,4,4,0,1772553695664
dock-b,130,55.4,22,6,0,1772553695664
stage-in,118,32.1,1,4,0,1772553695664
aisle-1-4,122,76.7,14,7,0,1772553695664
aisle-5-8,127,36.0,16,2,3,1772553695664
aisle-9-12,116,58.0,24,3,5,1772553695664
pick-a,87,42.2,10,5,0,1772553695664
pick-b,123,52.6,23,3,5,1772553695664
pack,123,56.0,24,5,0,1772553695664
stage-out,128,42.6,5,3,0,1772553695664
dock-c,119,50.6,9,8,0,1772553695664
dock-d,130,77.2,26,5,0,1772553695664
dock-a,125,71.4,6,3,0,1772553697664
dock-b,130,55.7,21,6,0,1772553697664
stage-in,114,32.1,1,4,0,1772553697664
aisle-1-4,122,76.3,11,8,0,1772553697664
aisle-5-8,128,37.1,19,2,4,1772553697664
aisle-9-12,114,60.0,25,2,5,1772553697664
pick-a,89,40.5,10,5,0,1772553697664
pick-b,122,52.6,22,2,5,1772553697664
pack,125,54.9,26,5,0,1772553697664
stage-out,126,41.6,7,3,0,1772553697664
dock-c,118,49.7,10,8,0,1772553697664
dock-d,128,78,26,5,0,1772553697664
dock-a,126,72.8,8,3,0,1772553699664
dock-b,129,55.0,19,6,0,1772553699664
stage-in,112,32.0,1,4,0,1772553699664
aisle-1-4,122,77.8,14,8,0,1772553699664
aisle-5-8,124,37.0,19,2,4,1772553699664
aisle-9-12,116,61.6,28,2,5,1772553699664
pick-a,85,42.2,13,5,0,1772553699664
pick-b,127,53.6,21,2,5,1772553699664
pack,125,54.3,28,5,0,1772553699664
stage-out,130,40.2,9,3,0,1772553699664
dock-c,119,48.7,11,8,0,1772553699664
dock-d,129,78,23,5,0,1772553699664
dock-a,129,74.8,7,3,0,1772553701664
dock-b,127,56.8,22,6,0,1772553701664
stage-in,117,30.9,1,4,0,1772553701664
aisle-1-4,121,78.0,15,8,0,1772553701664
aisle-5-8,128,38.2,19,2,4,1772553701664
aisle-9-12,113,59.6,25,2,5,1772553701664
pick-a,86,42.7,16,5,0,1772553701664
pick-b,130,54.9,21,2,5,1772553701664
pack,121,55.4,29,5,0,1772553701664
stage-out,126,41.7,9,3,0,1772553701664
dock-c,116,50.6,8,8,0,1772553701664
dock-d,130,77.8,24,5,0,1772553701664
dock-a,130,74.9,4,3,0,1772553703664
dock-b,125,58.0,19,6,0,1772553703664
stage-in,121,30,4,4,0,1772553703664
aisle-1-4,123,77.1,12,8,0,1772553703664
aisle-5-8,126,38.3,20,2,4,1772553703664
aisle-9-12,112,59.2,24,2,5,1772553703664
pick-a,89,42.8,13,5,0,1772553703664
pick-b,127,54.3,24,2,5,1772553703664
pack,125,53.4,27,5,0,1772553703664
stage-out,130,40.6,10,3,0,1772553703664
dock-c,120,52.2,10,8,0,1772553703664
dock-d,127,78,25,5,0,1772553703664
dock-a,130,76.6,4,3,0,1772553705664
dock-b,128,57.4,16,6,0,1772553705664
stage-in,121,30,3,4,0,1772553705664
aisle-1-4,122,78.0,12,8,0,1772553705664
aisle-5-8,129,37.1,17,2,4,1772553705664
aisle-9-12,115,59.9,21,2,5,1772553705664
pick-a,87,43.0,11,5,0,1772553705664
pick-b,130,55.3,25,2,5,1772553705664
pack,129,51.6,30,5,0,1772553705664
stage-out,130,42.2,11,3,0,1772553705664
dock-c,124,53.3,11,8,0,1772553705664
dock-d,128,76.9,25,5,0,1772553705664
dock-a,130,76.4,4,3,0,1772553707664
dock-b,130,56.2,15,6,0,1772553707664
stage-in,122,31.3,0,4,0,1772553707664
aisle-1-4,123,78,14,8,0,1772553707664
aisle-5-8,128,37.0,20,2,4,1772553707664
aisle-9-12,115,60.3,24,2,5,1772553707664
pick-a,91,42.7,8,5,0,1772553707664
pick-b,130,56.8,24,2,5,1772553707664
pack,127,51.0,30,5,0,1772553707664
stage-out,130,42.0,12,3,0,1772553707664
dock-c,129,51.5,13,8,0,1772553707664
dock-d,129,76.3,25,5,0,1772553707664
dock-a,130,76.4,3,3,0,1772553709664
dock-b,129,56.5,18,6,0,1772553709664
stage-in,123,31.9,2,4,0,1772553709664
aisle-1-4,119,78,17,8,0,1772553709664
aisle-5-8,130,38.5,17,2,4,1772553709664
aisle-9-12,119,58.6,25,2,5,1772553709664
pick-a,95,44.3,6,5,0,1772553709664
pick-b,130,58.7,27,2,5,1772553709664
pack,125,50.7,29,5,0,1772553709664
stage-out,128,43.5,15,3,0,1772553709664
dock-c,130,51.8,10,8,0,1772553709664
dock-d,130,78,25,5,0,1772553709664
dock-a,129,74.4,5,3,0,1772553711664
dock-b,130,57.5,18,6,0,1772553711664
stage-in,127,30.3,3,4,0,1772553711664
aisle-1-4,123,76.4,14,8,0,1772553711664
aisle-5-8,130,38.3,16,2,4,1772553711664
aisle-9-12,116,56.7,23,2,5,1772553711664
pick-a,92,44.0,7,5,0,1772553711664
pick-b,130,60.6,25,2,5,1772553711664
pack,122,52.4,30,5,0,1772553711664
stage-out,127,43.8,13,3,0,1772553711664
dock-c,130,53.4,10,8,0,1772553711664
dock-d,130,76.3,23,5,0,1772553711664
dock-a,129,73.3,6,3,0,1772553713664
dock-b,130,59.4,16,6,0,1772553713664
stage-in,130,30,5,4,0,1772553713664
aisle-1-4,123,78,14,8,0,1772553713664
aisle-5-8,130,37.6,14,2,4,1772553713664
aisle-9-12,120,55.9,22,2,5,1772553713664
pick-a,90,45.8,7,5,0,1772553713664
pick-b,130,61.7,27,2,5,1772553713664
pack,122,50.9,30,5,0,1772553713664
stage-out,126,43.1,13,3,0,1772553713664
dock-c,127,53.5,13,8,0,1772553713664
dock-d,128,78.0,22,5,0,1772553713664
dock-a,128,72.2,4,3,0,1772553715664
dock-b,129,60.4,19,6,0,1772553715664
stage-in,127,31.8,4,4,0,1772553715664
aisle-1-4,120,76.6,16,8,0,1772553715664
aisle-5-8,130,36.7,17,2,4,1772553715664
aisle-9-12,124,57.6,23,2,5,1772553715664
pick-a,95,45.8,8,5,0,1772553715664
pick-b,130,60.9,30,2,5,1772553715664
pack,124,50.8,29,5,0,1772553715664
stage-out,122,44.5,10,3,0,1772553715664
dock-c,129,52.0,12,8,0,1772553715664
dock-d,127,77.2,25,5,0,1772553715664
dock-a,130,72.9,2,3,0,1772553717664
dock-b,126,62.4,16,6,0,1772553717664
stage-in,130,30.4,2,4,0,1772553717664
aisle-1-4,117,75.1,15,8,0,1772553717664
aisle-5-8,126,36.8,15,2,4,1772553717664
aisle-9-12,124,58.3,26,2,5,1772553717664
pick-a,99,45.4,5,5,0,1772553717664
pick-b,127,60.1,30,2,5,1772553717664
pack,123,50.3,30,5,0,1772553717664
stage-out,123,44.4,11,3,0,1772553717664
dock-c,129,53.7,11,8,0,1772553717664
dock-d,128,78,28,5,0,1772553717664
dock-a,130,72.1,0,3,0,1772553719664
dock-b,127,61.8,16,6,0,1772553719664
stage-in,130,31.0,1,4,0,1772553719664
aisle-1-4,120,74.6,18,8,0,1772553719664
aisle-5-8,123,36.3,18,2,4,1772553719664
aisle-9-12,123,57.5,29,2,5,1772553719664
pick-a,99,45.4,6,5,0,1772553719664
pick-b,130,59.9,28,2,5,1772553719664
pack,120,51.3,27,5,0,1772553719664
stage-out,128,44.2,10,3,0,1772553719664
dock-c,130,55.2,10,8,0,1772553719664
dock-d,127,76.2,30,5,0,1772553719664
dock-a,130,73.4,0,3,0,1772553721664
dock-b,130,63.1,19,6,0,1772553721664
stage-in,130,30.1,4,4,0,1772553721664
aisle-1-4,123,76.1,16,8,0,1772553721664
aisle-5-8,120,35.3,21,2,4,1772553721664
aisle-9-12,122,59.3,29,2,5,1772553721664
pick-a,104,44.0,6,5,0,1772553721664
pick-b,127,60.2,26,2,5,1772553721664
pack,124,53.0,25,5,0,1772553721664
stage-out,130,44.7,12,3,0,1772553721664
dock-c,129,53.4,12,8,0,1772553721664
dock-d,128,74.4,30,5,0,1772553721664
dock-a,130,73.3,0,3,0,1772553723664
dock-b,130,63.6,18,6,0,1772553723664
stage-in,127,30,1,4,0,1772553723664
aisle-1-4,126,75.3,15,8,0,1772553723664
aisle-5-8,116,33.7,24,2,4,1772553723664
aisle-9-12,119,60.0,28,2,5,1772553723664
pick-a,109,43.5,7,5,0,1772553723664
pick-b,126,58.5,27,2,5,1772553723664
pack,125,52.9,28,5,0,1772553723664
stage-out,127,45.1,12,3,0,1772553723664
dock-c,130,54.7,12,8,0,1772553723664
dock-d,128,73.4,30,5,0,1772553723664
dock-a,130,73.4,3,3,0,1772553725664
dock-b,130,63.9,20,6,0,1772553725664
stage-in,127,31.7,2,4,0,1772553725664
aisle-1-4,129,76.4,15,8,0,1772553725664
aisle-5-8,114,35.2,26,2,4,1772553725664
aisle-9-12,115,60.1,30,2,5,1772553725664
pick-a,112,45.0,8,5,0,1772553725664
pick-b,127,60.4,29,2,5,1772553725664
pack,125,54.5,26,5,0,1772553725664
stage-out,123,45.1,15,3,0,1772553725664
dock-c,130,56.6,15,8,0,1772553725664
dock-d,130,74.2,28,5,0,1772553725664
dock-a,130,74.2,5,3,0,1772553727664
dock-b,130,62.4,21,6,0,1772553727664
stage-in,123,30.9,2,4,0,1772553727664
aisle-1-4,126,76.4,17,8,0,1772553727664
aisle-5-8,117,34.1,27,2,4,1772553727664
aisle-9-12,116,61.0,30,2,5,1772553727664
pick-a,114,43.7,6,5,0,1772553727664
pick-b,126,60.9,27,2,5,1772553727664
pack,125,52.8,25,5,0,1772553727664
stage-out,120,44.1,14,3,0,1772553727664
dock-c,126,54.9,14,8,0,1772553727664
dock-d,130,74.8,28,5,0,1772553727664
dock-a,127,73.0,7,3,0,1772553729664
dock-b,130,61.4,19,6,0,1772553729664
stage-in,124,32.8,5,4,0,1772553729664
aisle-1-4,126,74.9,18,8,0,1772553729664
aisle-5-8,118,32.2,24,2,4,1772553729664
aisle-9-12,118,60.1,30,2,5,1772553729664
pick-a,117,42.6,7,5,0,1772553729664
pick-b,129,61.4,30,2,5,1772553729664
pack,127,52.1,25,5,0,1772553729664
stage-out,125,42.9,15,3,0,1772553729664
dock-c,127,56.6,17,8,0,1772553729664
dock-d,128,74.3,30,5,0,1772553729664
dock-a,130,74.3,9,3,0,1772553731664
dock-b,130,59.4,18,6,0,1772553731664
stage-in,126,32.1,2,4,0,1772553731664
aisle-1-4,129,73.8,21,8,0,1772553731664
aisle-5-8,121,34.0,26,2,4,1772553731664
aisle-9-12,115,59.6,30,2,5,1772553731664
pick-a,121,43.1,5,5,0,1772553731664
pick-b,130,62.1,27,2,5,1772553731664
pack,129,50.1,28,5,0,1772553731664
stage-out,129,44.1,16,3,0,1772553731664
dock-c,130,57.7,18,8,0,1772553731664
dock-d,126,72.4,28,5,0,1772553731664
dock-a,130,73.0,9,3,0,1772553733664
dock-b,129,60.7,17,6,0,1772553733664
stage-in,125,30.8,5,4,0,1772553733664
aisle-1-4,130,73.8,22,8,0,1772553733664
aisle-5-8,125,35.7,23,2,4,1772553733664
aisle-9-12,113,58.1,28,2,5,1772553733664
pick-a,121,44.3,8,5,0,1772553733664
pick-b,130,63.5,30,2,5,1772553733664
pack,129,48.5,28,5,0,1772553733664
stage-out,126,44.7,16,3,0,1772553733664
dock-c,130,58.4,17,8,0,1772553733664
dock-d,127,72.6,29,5,0,1772553733664
